,betas
1,1.049321992
2,1.049321992
3,1.049321992
4,1.049321992
5,1.049321992
6,1.049321992
7,1.049321992
8,1.049321992
9,1.049321992
10,1.049321992
11,1.049321992
12,1.049321992
13,1.049321992
14,1.049321992
15,1.049321992
16,1.049321992
17,1.049321992
18,1.049321992
19,1.049321992
20,1.049321992
21,1.049321992
22,1.049321992
23,1.049321992
24,1.049321992
25,1.049321992
26,1.049321992
27,1.049321992
28,1.049321992
29,1.049321992
30,1.049321992
31,1.049321992
32,1.049321992
33,1.049321992
34,1.049321992
35,1.049321992
36,1.049321992
37,1.049321992
38,1.049321992
39,1.049321992
40,1.049321992
41,1.049321992
42,1.049321992
43,1.049321992
44,1.049321992
45,1.049321992
46,1.049321992
47,1.049321992
48,1.049321992
49,1.049321992
50,1.049321992
51,1.049321992
52,1.049321992
53,1.049321992
54,1.049321992
55,1.049321992
56,1.049321992
57,1.049321992
58,1.049321992
59,1.049321992
60,1.049321992
61,1.049321992
62,1.049321992
63,1.049318637
64,1.049318637
65,1.049318637
66,1.049318637
67,1.049318637
68,1.049318637
69,1.049318637
70,1.049318637
71,1.049318637
72,1.049318637
73,1.049318637
74,1.049318637
75,1.049318637
76,1.049318637
77,1.049318637
78,1.049318637
79,1.049318637
80,1.049318637
81,1.048437935
82,1.048437935
83,1.048437935
84,1.048437935
85,1.048437935
86,1.048437935
87,1.048437935
88,1.048437935
89,1.048437935
90,1.048432387
91,1.048432387
92,1.048432387
93,1.048432387
94,1.048432387
95,1.048432387
96,1.048432387
97,1.048432387
98,1.048432387
99,1.048432387
100,1.048432387
101,1.048432387
102,1.048432387
103,1.048432387
104,1.048432387
105,1.048432387
106,1.048432387
107,1.048432387
108,1.048432387
109,1.048432387
110,1.048432387
111,1.048432387
112,1.048432387
113,1.048432387
114,1.048432387
115,1.048432387
116,1.048432387
117,1.048432387
118,1.048432387
119,1.048432387
120,1.048432387
121,1.048432387
122,1.048432387
123,1.048432387
124,1.048432387
125,1.048389801
126,1.048389801
127,1.048388587
128,1.048388587
129,1.048388587
130,1.048241247
131,1.048241247
132,1.048241247
133,1.048241247
134,1.048241247
135,1.048241247
136,1.048241247
137,1.048241247
138,1.048241247
139,1.048241247
140,1.048241247
141,1.04821347
142,1.04821347
143,1.04821347
144,1.04821347
145,1.04821347
146,1.04821347
147,1.04821347
148,1.04821347
149,1.04821347
150,1.048214943
151,1.048214943
152,1.048214943
153,1.048214943
154,1.048214943
155,1.048214943
156,1.048214943
157,1.048214943
158,1.048215719
159,1.048215719
160,1.048215719
161,1.048215719
162,1.048215719
163,1.048215719
164,1.048215719
165,1.048215719
166,1.047376992
167,1.047376992
168,1.047376992
169,1.047376992
170,1.047376992
171,1.047371845
172,1.047371845
173,1.047371845
174,1.047366576
175,1.047366576
176,1.047366576
177,1.047366576
178,1.047366576
179,1.047365881
180,1.047365881
181,1.047365881
182,1.047365881
183,1.047365881
184,1.047365881
185,1.047365881
186,1.047365881
187,1.047365881
188,1.047365881
189,1.047365881
190,1.047365881
191,1.047365881
192,1.047365881
193,1.047365881
194,1.047365881
195,1.047365881
196,1.047365881
197,1.047365881
198,1.047365881
199,1.047363928
200,1.047363928
201,1.047363928
202,1.047364068
203,1.047364068
204,1.047364068
205,1.047364068
206,1.047364068
207,1.047364068
208,1.047364068
209,1.047364068
210,1.047364068
211,1.047364068
212,1.047364068
213,1.047362978
214,1.047362978
215,1.047362978
216,1.047362978
217,1.047362978
218,1.047362978
219,1.047362978
220,1.047362978
221,1.047362978
222,1.047362978
223,1.047362978
224,1.047362978
225,1.047362978
226,1.047362978
227,1.047362978
228,1.047362978
229,1.047362978
230,1.047362978
231,1.047362978
232,1.047362978
233,1.047362978
234,1.047362978
235,1.047362978
236,1.047362978
237,1.047362978
238,1.047362978
239,1.047362978
240,1.047362978
241,1.047362978
242,1.047362978
243,1.047362978
244,1.047362978
245,1.047362978
246,1.047362978
247,1.047362978
248,1.047362978
249,1.047362978
250,1.047362978
251,1.047362978
252,1.047362978
253,1.047362978
254,1.047362978
255,1.047362978
256,1.047362978
257,1.047362978
258,1.047362978
259,1.047256397
260,1.047256397
261,1.047256397
262,1.047256397
263,1.047256397
264,1.047256397
265,1.047256397
266,1.047256397
267,1.047256397
268,1.047256397
269,1.047256397
270,1.047256397
271,1.047256397
272,1.047256397
273,1.047256397
274,1.047256397
275,1.047241967
276,1.047241967
277,1.047241967
278,1.047241967
279,1.047241967
280,1.047241967
281,1.047241967
282,1.047231883
283,1.047231883
284,1.047231883
285,1.047231883
286,1.047231883
287,1.047231883
288,1.047231883
289,1.047231883
290,1.047057657
291,1.047057657
292,1.047057657
293,1.047057657
294,1.047057657
295,1.047057657
296,1.047057657
297,1.047057657
298,1.047057657
299,1.047057657
300,1.047057657
301,1.047057657
302,1.047057657
303,1.047057657
304,1.047057657
305,1.047057657
306,1.047057657
307,1.047057657
308,1.047057657
309,1.047057657
310,1.047057657
311,1.047057657
312,1.047057657
313,1.047057657
314,1.047057657
315,1.047057657
316,1.047057657
317,1.047057657
318,1.047057657
319,1.047057657
320,1.047057657
321,1.047057657
322,1.047057657
323,1.047057657
324,1.047057657
325,1.047057657
326,1.047057657
327,1.047057657
328,1.047057657
329,1.047057657
330,1.04703813
331,1.04703813
332,1.04703813
333,1.04703813
334,1.04703813
335,1.04703813
336,1.04703813
337,1.04703813
338,1.04703813
339,1.04703813
340,1.04703813
341,1.04703813
342,1.04703813
343,1.04703813
344,1.04703813
345,1.04703813
346,1.04703813
347,1.04703813
348,1.04703813
349,1.04703813
350,1.04703813
351,1.04703813
352,1.04703813
353,1.04703813
354,1.04703813
355,1.04703813
356,1.04703813
357,1.04703813
358,1.04703813
359,1.04703813
360,1.047035537
361,1.047035537
362,1.047035537
363,1.047035537
364,1.047035537
365,1.047035537
366,1.047035537
367,1.047035537
368,1.047035537
369,1.047035537
370,1.047035537
371,1.047035537
372,1.047034453
373,1.047034453
374,1.047034453
375,1.047034453
376,1.047034453
377,1.047034453
378,1.047034453
379,1.047034453
380,1.047034453
381,1.047034453
382,1.047034453
383,1.046989593
384,1.046989593
385,1.046989593
386,1.046989593
387,1.046989593
388,1.046989593
389,1.046989593
390,1.046989593
391,1.046989593
392,1.046989593
393,1.046989593
394,1.046989593
395,1.046989593
396,1.046989593
397,1.046989593
398,1.046989593
399,1.046989593
400,1.046989593
401,1.046989593
402,1.046989593
403,1.046989593
404,1.046989593
405,1.046989593
406,1.046989593
407,1.046989593
408,1.046989593
409,1.046989593
410,1.046989593
411,1.046989593
412,1.046989593
413,1.046989593
414,1.046989593
415,1.046989593
416,1.046989593
417,1.046989593
418,1.046989593
419,1.046989593
420,1.046989593
421,1.046989593
422,1.046989593
423,1.046985878
424,1.046985878
425,1.046985878
426,1.046953918
427,1.046953918
428,1.046953918
429,1.046953918
430,1.046941786
431,1.045476874
432,1.045476874
433,1.045476874
434,1.045476874
435,1.045476874
436,1.045465152
437,1.045465152
438,1.045465152
439,1.045465152
440,1.045465152
441,1.045465152
442,1.045465152
443,1.045465152
444,1.045465152
445,1.045465152
446,1.045465152
447,1.045465152
448,1.045465152
449,1.045465152
450,1.045465152
451,1.045465152
452,1.045464717
453,1.043477809
454,1.043477809
455,1.043477809
456,1.043477809
457,1.043477809
458,1.043477809
459,1.043477809
460,1.043477809
461,1.043477809
462,1.043477809
463,1.043477809
464,1.043477809
465,1.043477809
466,1.043477809
467,1.043477809
468,1.043477809
469,1.043477809
470,1.043477809
471,1.043477809
472,1.043477809
473,1.043477809
474,1.043477809
475,1.043477809
476,1.043477809
477,1.043477809
478,1.043477809
479,1.043476522
480,1.043476522
481,1.043476522
482,1.043476522
483,1.043476522
484,1.043476522
485,1.043476522
486,1.043476522
487,1.043476522
488,1.043476522
489,1.043476522
490,1.043476522
491,1.043476522
492,1.043476522
493,1.043476522
494,1.04346834
495,1.04346834
496,1.04346834
497,1.04346834
498,1.04346834
499,1.04346834
500,1.04346834
501,1.04346834
502,1.04346834
503,1.04346834
504,1.04346834
505,1.04346834
506,1.04346834
507,1.04346834
508,1.04346834
509,1.04346834
510,1.04346834
511,1.04346834
512,1.04346834
513,1.04346834
514,1.04346834
515,1.04346834
516,1.04346834
517,1.04346834
518,1.04346834
519,1.04346834
520,1.04346834
521,1.04346834
522,1.04346389
523,1.04346389
524,1.04346389
525,1.04346389
526,1.04346389
527,1.04346389
528,1.04346389
529,1.04346389
530,1.04346389
531,1.04346389
532,1.04346389
533,1.04346389
534,1.04346389
535,1.04346389
536,1.04346389
537,1.04346389
538,1.04346389
539,1.04346389
540,1.04346389
541,1.04346389
542,1.04346389
543,1.04346389
544,1.04346389
545,1.04346389
546,1.04346389
547,1.04346389
548,1.04346389
549,1.04346389
550,1.04346389
551,1.04346389
552,1.04345238
553,1.04345238
554,1.04345238
555,1.04345238
556,1.04345238
557,1.04345238
558,1.043350071
559,1.043350071
560,1.043350071
561,1.043350071
562,1.043350071
563,1.043350071
564,1.043350071
565,1.043350071
566,1.043350071
567,1.043350071
568,1.043350071
569,1.043350071
570,1.043350071
571,1.043350071
572,1.043350071
573,1.043350071
574,1.043350071
575,1.043350071
576,1.043350071
577,1.043350071
578,1.043350071
579,1.043350071
580,1.043350071
581,1.043350071
582,1.043350071
583,1.043350071
584,1.043350071
585,1.043350071
586,1.043350071
587,1.043350071
588,1.043350071
589,1.043350071
590,1.043350071
591,1.043350071
592,1.043350071
593,1.043350071
594,1.043350071
595,1.043350071
596,1.043350071
597,1.043350071
598,1.043350071
599,1.043350071
600,1.043350071
601,1.043350071
602,1.043350071
603,1.043350071
604,1.043350071
605,1.043350071
606,1.043350071
607,1.043350071
608,1.043330976
609,1.043330976
610,1.043330976
611,1.043330976
612,1.043330976
613,1.043330976
614,1.043330976
615,1.043218285
616,1.043218285
617,1.043218285
618,1.043218285
619,1.043218285
620,1.043218285
621,1.043218285
622,1.043218285
623,1.043218285
624,1.043218285
625,1.043218285
626,1.043218285
627,1.043218285
628,1.043218285
629,1.043218285
630,1.043218285
631,1.043218285
632,1.043218285
633,1.043218285
634,1.043218285
635,1.043218285
636,1.043218285
637,1.043218285
638,1.043218285
639,1.043218285
640,1.043218285
641,1.043218285
642,1.043218285
643,1.043218285
