"","x"
"1",0
"2",0.000489245353988798
"3",7.81920048489795e-05
"4",-0.00202501911871279
"5",-0.00440170473710456
"6",-0.00445155972840211
"7",-0.00552379028868338
"8",-0.0056210817717874
"9",-0.00610809751940398
"10",-0.00631952693793891
"11",-0.00685349221807926
"12",-0.00779123225223348
"13",-0.00867541200771956
"14",-0.00890283572292094
"15",-0.00878782512394639
"16",-0.00854194754230215
"17",-0.00984942119277889
"18",-0.0110177917340797
"19",-0.0111325499608471
"20",-0.0121551177973636
"21",-0.0118162686464207
"22",-0.0105311634673099
"23",-0.0104938383275761
"24",-0.0102011290370648
"25",-0.0107130917668471
"26",-0.0101598197246862
"27",-0.00961507884339674
"28",-0.00952279739965058
"29",-0.0122300722266338
"30",-0.0135409527531366
"31",-0.0142324604077626
"32",-0.0139378241119323
"33",-0.0136219698526062
"34",-0.0147477515370186
"35",-0.0125028598687356
"36",-0.0141547829394196
"37",-0.0154898399000124
"38",-0.0148000568060552
"39",-0.0144037891806635
"40",-0.0144619806355639
"41",-0.0157863818835134
"42",-0.0167292710102204
"43",-0.0165092239621112
"44",-0.0174874666185177
"45",-0.0161082743598213
"46",-0.0170616048562358
"47",-0.0168764901775097
"48",-0.0154029315837145
"49",-0.0157490085238047
"50",-0.0156965226612791
"51",-0.01487184008276
"52",-0.0139515416440364
"53",-0.0152056990073648
"54",-0.0154023532906126
"55",-0.0140018630807462
"56",-0.0145766134950994
"57",-0.014009419062737
"58",-0.0148230836337959
"59",-0.013063016869634
"60",-0.0124161182423034
"61",-0.0138483776382812
"62",-0.0132965351682982
"63",-0.0133863475241003
"64",-0.012840743028571
"65",-0.0126890999783999
"66",-0.0132203326813455
"67",-0.0136468365518942
"68",-0.0138001678113817
"69",-0.0145669328689731
"70",-0.0154838784842301
"71",-0.0159378132021516
"72",-0.0146814959669418
"73",-0.0146034896190105
"74",-0.014468968919001
"75",-0.0141786177014823
"76",-0.0139556473370175
"77",-0.0136446149539858
"78",-0.0133214116808405
"79",-0.0137939046949889
"80",-0.0142009811687432
"81",-0.0138478809743787
"82",-0.0136992830538924
"83",-0.0135660295167992
"84",-0.0127709481982422
"85",-0.0116716015649482
"86",-0.0111644015047665
"87",-0.0100131294399095
"88",-0.00959420695851913
"89",-0.0103530703838664
"90",-0.0105732359646317
"91",-0.00845153848906866
"92",-0.00867054245974231
"93",-0.00941025431739591
"94",-0.0101516387190937
"95",-0.0104888819415713
"96",-0.0107103753270945
"97",-0.0111829607417838
"98",-0.0114211122261978
"99",-0.0130282704383192
"100",-0.0120711469925722
"101",-0.012815478113967
"102",-0.0131663775398755
"103",-0.0119915096050911
"104",-0.0122636653551212
"105",-0.0117551015022261
"106",-0.0129069675897552
"107",-0.0132889398990727
"108",-0.0122409615150707
"109",-0.0132335837087671
"110",-0.0123026245832042
"111",-0.0126343508784402
"112",-0.0119543451134985
"113",-0.0125922474659295
"114",-0.0131853422916237
"115",-0.0137121023919563
"116",-0.014387162880722
"117",-0.0134976792315964
"118",-0.013520041475727
"119",-0.0136028428155205
"120",-0.0132219360273939
"121",-0.0126815654256849
"122",-0.0130883962123851
"123",-0.0118102225742446
"124",-0.0130291976550094
"125",-0.011453563302072
"126",-0.0104918525422483
"127",-0.0116186552320296
"128",-0.0109721068897938
"129",-0.0118497323726606
"130",-0.0116130421956257
"131",-0.0117570537798102
"132",-0.0119949559802973
"133",-0.0106568631407348
