"","x"
"1",0
"2",-0.0582318865246103
"3",8.47391343935869e-05
"4",0.00820592345641471
"5",-0.0571624634090684
"6",-0.209679051086979
"7",-0.415721686208025
"8",-0.40828032149038
"9",-0.332666683257295
"10",-0.376272690365276
"11",-0.381536631591701
"12",-0.428905953710823
"13",-0.47551033038087
"14",-0.599526667721892
"15",-0.804526716083753
"16",-0.672356627920875
"17",-0.674590229111975
"18",-0.536460505464878
"19",-0.451992178852192
"20",-0.444104291239167
"21",-0.418444116263271
"22",-0.473222564019598
"23",-0.270718675180835
"24",-0.19245576978192
"25",-0.0883544421570455
"26",0.0427543092923016
"27",-0.0724009983810529
"28",-0.0288780608352762
"29",-0.190127522707382
"30",-0.17330811084654
"31",-0.21819454336459
"32",-0.300833411687485
"33",-0.411707504333957
"34",-0.376434901359828
"35",-0.304994994665256
"36",-0.065933391924869
"37",-0.0456089182528001
"38",-0.169791264914157
"39",-0.358768615737447
"40",-0.291428974341278
"41",-0.26492050303205
"42",-0.306438263356113
"43",-0.452619581041117
"44",-0.502819466529794
"45",-0.422649294149095
"46",-0.220137913221724
"47",-0.0434866776184489
"48",-0.0406194389340209
"49",-0.249946108718653
"50",-0.294085319001795
"51",-0.37169932703749
"52",-0.339281820871475
"53",-0.367747734273453
"54",-0.453671036063016
"55",-0.510334287676778
"56",-0.430668974688403
"57",-0.397285835865833
"58",-0.369606537098117
"59",-0.286216394292095
"60",-0.213999535572414
"61",-0.382925192822944
"62",-0.2622725130588
"63",-0.230935078521029
"64",-0.191137215795416
"65",-0.0469632440995323
"66",-0.149584922202394
"67",-0.138789723973174
"68",-0.191555122751402
"69",-0.0642545971115399
"70",-0.0371232095540542
"71",-0.218614442386708
"72",-0.249787555592454
"73",-0.229621222561282
"74",-0.224817843355879
"75",-0.0407993286526047
"76",-0.092446414632711
"77",0.0542724919949721
"78",0.1274593745407
"79",0.0922057769544864
"80",0.0317056637474808
"81",0.0337533612196841
"82",-0.0925091098559255
"83",-0.0260030454483614
"84",-0.00182906876869185
"85",-0.0189642236838877
"86",0.15172160949271
"87",0.148091081348491
"88",0.250842874933054
"89",0.290229725291225
"90",0.205490783618407
"91",0.100011059810471
"92",0.112427574642072
"93",0.0798338614432313
"94",0.261073022515734
"95",0.0611879944721696
"96",0.271965662239998
"97",0.102904259582648
"98",0.0660377792127649
"99",0.0342585029692507
"100",0.0446339215466638
"101",0.0900191951848592
"102",-0.0352695265942262
"103",-0.173128851777915
"104",-0.33963982891839
"105",-0.3681218715222
"106",-0.449304414823122
"107",-0.475952926042128
"108",-0.483615629470335
"109",-0.479323745182502
"110",-0.511906974812602
"111",-0.516429876237191
"112",-0.668930429357141
"113",-0.615852754971555
"114",-0.412164484406704
"115",-0.501506947213543
"116",-0.457056075678299
"117",-0.365119050614648
"118",-0.286890804946411
"119",-0.187200354460785
"120",-0.257066434367179
"121",-0.299907068263867
"122",-0.287992289204646
"123",-0.388237445696583
"124",-0.585393746773252
"125",-0.649996050249037
"126",-0.63310725319957
"127",-0.601351806894897
"128",-0.618982368094044
"129",-0.586770782789279
"130",-0.713658021107578
"131",-0.704985022519089
"132",-0.721798874350888
"133",-0.615589408836352
"134",-0.655498483281359
"135",-0.639207419668162
"136",-0.617562117799215
"137",-0.779805407843896
"138",-0.721115758783147
"139",-0.63567771309894
"140",-0.488987632949896
"141",-0.382554104599952
"142",-0.301816543568282
"143",-0.274595475306794
"144",-0.387624807806131
"145",-0.162105437786846
"146",-0.2784511975926
"147",-0.167876289214374
"148",-0.0910366611167345
